strategy,trial,accuracy,hidden_channels,hidden_layers,learning_rate,warmup_epochs,down_sample,qb_link
GABRIEL,15,0.6923076923076923,256,1,0.002034830811760456,10,False,False
GABRIEL,16,0.7018150388936906,256,1,0.0020199742301272236,10,False,False
GABRIEL,17,0.6793431287813311,256,1,0.0021067709632819234,10,False,False
GABRIEL,18,0.6041486603284356,256,1,0.009128502511976385,10,False,False
GABRIEL,19,0.6041486603284356,256,1,0.010525244417404699,10,False,False
GABRIEL,20,0.691875540190147,256,1,0.002763685615205284,10,False,False
GABRIEL,21,0.6953327571305099,256,1,0.003186460785025099,30,False,False
GABRIEL,22,0.7117903930131004,256,1,0.0013404467973440188,30,True,False
GABRIEL,23,0.6915938864628821,256,1,0.0015342300069697808,10,True,False
GABRIEL,24,0.6894104803493449,256,1,0.0014120468504834607,30,True,False
GABRIEL,25,0.6974935177182369,256,1,0.0014996638248807688,30,False,False
GABRIEL,26,0.6961970613656007,256,1,0.0015988883871396584,30,False,False
GABRIEL,27,0.7173725151253241,256,1,0.001563711594137864,30,False,False
GABRIEL,28,0.6992221261884183,256,1,0.0038192579357750013,30,False,False
GABRIEL,29,0.6888504753673294,256,1,0.004171329642312496,10,False,False
GABRIEL,30,0.6041486603284356,256,1,0.006365001882769979,10,False,False
GABRIEL,31,0.6041486603284356,256,1,0.024830097187795337,10,False,False
GABRIEL,32,0.7169403630077787,256,1,0.001257024811064066,30,False,False
GABRIEL,33,0.7079694323144105,256,1,0.0012882201739036533,30,True,False
GABRIEL,34,0.7117545375972342,256,1,0.001003339630666511,30,False,False
GABRIEL,35,0.743733794295592,256,1,0.0010023163689747085,30,False,False
GABRIEL,36,0.7082973206568712,256,1,0.0018391032193606788,30,False,True
GABRIEL,37,0.6797752808988764,256,2,0.0019758912079180482,30,False,True
GABRIEL,38,0.6041486603284356,256,2,0.002316771558751316,30,False,True
GABRIEL,39,0.691875540190147,256,1,0.0027706836879652042,30,False,False
GABRIEL,40,0.6944684528954191,128,1,0.0032342370071424247,30,False,False
GABRIEL,41,0.6745894554883319,128,1,0.003327688217886268,10,False,False
GABRIEL,42,0.7316335350043215,256,1,0.0011822421312152277,30,False,False
GABRIEL,43,0.7121866897147796,256,1,0.0013047684460697959,30,False,False
GABRIEL,44,0.7134831460674157,256,1,0.0012017514153663128,30,False,False
GABRIEL,45,0.6037165082108902,256,1,0.0058231875002220735,20,False,False
